robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,100,1,0,74,1,1.6367992162704468,75.63679921627045
1,101,0,0,74,1,1.8411109447479248,75.84111094474792
2,102,0,0,74,1,2.050886869430542,76.05088686943054
3,103,0,0,74,1,2.3281266689300537,76.32812666893005
4,104,0,0,74,1,2.6281344890594482,76.62813448905945
5,105,0,0,74,1,2.9098124504089355,76.90981245040894
6,106,0,0,74,1,3.258493423461914,77.25849342346191
7,107,0,0,74,1,3.640075445175171,77.64007544517517
8,108,0,0,74,1,3.9494478702545166,77.94944787025452
9,109,0,0,74,1,4.320696830749512,78.32069683074951
10,110,0,0,74,1,4.767758846282959,78.76775884628296
11,111,0,12,86,0,5.323979377746582,79.32397937774658
12,112,0,12,86,0,5.868498802185059,79.86849880218506
13,113,0,12,86,0,5.72730016708374,79.72730016708374
14,114,0,12,86,0,5.452406883239746,79.45240688323975
15,115,0,12,86,0,5.143381595611572,79.14338159561157
16,116,0,12,86,0,5.0551981925964355,79.05519819259644
17,117,0,12,86,0,5.251767635345459,79.25176763534546
18,118,0,12,86,0,5.309173107147217,79.30917310714722
19,119,0,12,86,0,5.503969669342041,79.50396966934204
20,120,0,12,86,0,5.593949317932129,79.59394931793213
21,121,0,12,86,0,5.484447479248047,79.48444747924805
22,122,0,0,74,1,5.191990375518799,79.1919903755188
23,123,0,0,74,1,4.919073104858398,78.9190731048584
24,124,0,0,74,1,4.675847053527832,78.67584705352783
25,125,0,0,74,1,4.314271450042725,78.31427145004272
26,126,0,0,74,1,3.989840030670166,77.98984003067017
27,127,0,0,74,1,4.019344329833984,78.01934432983398
28,128,0,0,74,1,4.2416863441467285,78.24168634414673
29,129,0,0,74,1,4.727328777313232,78.72732877731323
30,130,0,0,74,1,5.430126667022705,79.4301266670227
31,131,0,13,87,0,6.325973033905029,80.32597303390503
32,132,0,13,87,0,6.844557285308838,80.84455728530884
33,133,0,13,87,0,7.356637954711914,81.35663795471191
34,134,0,13,87,0,7.728109836578369,81.72810983657837
35,135,0,13,87,0,7.728076457977295,81.7280764579773
36,136,0,13,87,0,7.731091022491455,81.73109102249146
37,137,0,13,87,0,7.465605735778809,81.46560573577881
38,138,0,13,87,0,7.385563850402832,81.38556385040283
39,139,0,13,87,0,7.002552509307861,81.00255250930786
40,140,0,13,87,0,6.783558368682861,80.78355836868286
41,141,0,13,87,0,6.815835475921631,80.81583547592163
42,142,0,13,87,0,6.909506797790527,80.90950679779053
43,143,0,13,87,0,6.962895393371582,80.96289539337158
44,144,0,13,87,0,7.110729217529297,81.1107292175293
45,145,0,13,87,0,7.166979789733887,81.16697978973389
46,146,0,13,87,0,7.0410661697387695,81.04106616973877
47,147,2,13,87,0,6.795369625091553,80.79536962509155
48,148,0,13,87,0,6.749631881713867,80.74963188171387
49,149,0,13,87,0,6.718202114105225,80.71820211410522
50,208,3,10,84,0,9.434853553771973,83.43485355377197
51,209,0,10,84,0,9.118568420410156,83.11856842041016
52,210,0,10,84,0,9.073356628417969,83.07335662841797
53,211,0,11,85,0,9.481244087219238,83.48124408721924
54,212,0,2,76,0,4.491789817810059,78.49178981781006
55,213,0,3,77,0,5.615948677062988,79.61594867706299
56,214,0,11,85,0,9.080581665039062,83.08058166503906
57,215,0,10,84,0,8.869514465332031,82.86951446533203
58,216,0,10,84,0,8.876476287841797,82.8764762878418
59,217,0,11,85,0,10.531204223632812,84.53120422363281
