robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,0,0,0,5,0,0.0,5.0
1,1,0,1,6,0,2.1153080463409424,7.115308046340942
2,2,0,2,7,0,2.4662117958068848,7.466211795806885
3,3,0,3,8,0,2.8601913452148438,7.860191345214844
4,4,0,4,9,0,3.2719876766204834,8.271987676620483
5,5,0,5,10,0,3.6834909915924072,8.683490991592407
6,6,0,6,11,0,4.081425666809082,9.081425666809082
7,7,0,7,12,1,4.454024314880371,9.454024314880371
8,8,0,8,13,0,4.7726240158081055,9.772624015808105
9,9,0,8,13,0,5.000672340393066,10.000672340393066
10,10,0,8,13,0,5.17449426651001,10.17449426651001
11,11,0,8,13,0,5.318248748779297,10.318248748779297
12,12,0,8,13,0,5.406158924102783,10.406158924102783
13,13,0,8,13,0,5.403663158416748,10.403663158416748
14,14,0,8,13,0,5.400930404663086,10.400930404663086
15,15,0,8,13,0,5.412803649902344,10.412803649902344
16,16,0,8,13,0,5.418342590332031,10.418342590332031
17,17,0,8,13,0,5.433094501495361,10.433094501495361
18,18,0,8,13,0,5.4635748863220215,10.463574886322021
19,19,0,8,13,0,5.498359203338623,10.498359203338623
20,20,0,8,13,0,5.52748441696167,10.52748441696167
21,21,0,8,13,0,5.564297676086426,10.564297676086426
22,22,0,8,13,0,5.637162685394287,10.637162685394287
23,23,0,8,13,0,5.767097473144531,10.767097473144531
24,24,0,8,13,0,5.774948596954346,10.774948596954346
25,25,0,8,13,0,5.792193412780762,10.792193412780762
26,26,0,8,13,0,5.860036373138428,10.860036373138428
27,27,0,8,13,0,5.978610515594482,10.978610515594482
28,28,0,8,13,0,6.026684284210205,11.026684284210205
29,29,0,8,13,0,6.076289653778076,11.076289653778076
30,30,0,8,13,0,6.1504058837890625,11.150405883789062
31,31,0,8,13,0,6.3370866775512695,11.33708667755127
32,32,0,8,13,0,6.597330570220947,11.597330570220947
33,33,0,8,13,0,6.998854160308838,11.998854160308838
