robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,173,0,0,12,0,0.0,12.0
1,174,0,1,13,0,1.5983659029006958,13.598365902900696
2,175,0,2,14,0,2.037883758544922,14.037883758544922
3,176,0,3,15,0,2.492455005645752,14.492455005645752
4,177,0,4,16,0,2.9513838291168213,14.951383829116821
5,178,0,5,17,0,3.4606359004974365,15.460635900497437
6,179,0,6,18,0,4.660398960113525,16.660398960113525
7,180,0,7,19,0,5.517968654632568,17.51796865463257
8,181,0,8,20,0,6.176855564117432,18.17685556411743
9,182,0,9,21,0,6.755710124969482,18.755710124969482
10,183,0,10,22,0,7.340573310852051,19.34057331085205
11,184,0,11,23,0,7.914827346801758,19.914827346801758
12,185,0,12,24,0,8.340764999389648,20.34076499938965
13,186,0,12,24,0,8.463605880737305,20.463605880737305
14,187,0,12,24,0,8.70788860321045,20.70788860321045
15,188,0,12,24,0,8.934745788574219,20.93474578857422
16,189,0,12,24,0,9.253528594970703,21.253528594970703
17,190,0,12,24,0,9.84713077545166,21.84713077545166
18,191,0,12,24,0,10.637125968933105,22.637125968933105
19,192,0,13,25,0,11.316017150878906,23.316017150878906
20,193,0,13,25,0,12.49972152709961,24.49972152709961
21,194,0,13,25,0,13.610804557800293,25.610804557800293
22,195,0,13,25,0,14.47918701171875,26.47918701171875
23,196,0,13,25,0,15.58089828491211,27.58089828491211
24,197,0,13,25,0,16.477270126342773,28.477270126342773
25,198,0,14,26,0,17.247621536254883,29.247621536254883
26,199,0,14,26,0,17.715923309326172,29.715923309326172
27,200,0,14,26,0,17.99913215637207,29.99913215637207
28,201,0,14,26,0,18.21443748474121,30.21443748474121
29,202,0,14,26,0,18.36441993713379,30.36441993713379
30,203,0,14,26,0,18.4646053314209,30.4646053314209
31,204,1,14,26,0,18.578134536743164,30.578134536743164
32,205,0,14,26,0,18.719329833984375,30.719329833984375
33,206,0,15,27,0,19.170448303222656,31.170448303222656
34,207,0,16,28,0,19.79314613342285,31.79314613342285
35,208,0,17,29,0,20.571697235107422,32.57169723510742
36,209,0,19,31,0,21.638065338134766,33.638065338134766
37,210,0,20,32,0,23.804758071899414,35.804758071899414
38,211,0,20,32,0,23.762203216552734,35.762203216552734
39,212,0,21,33,0,24.16876792907715,36.16876792907715
40,213,0,23,35,1,24.687885284423828,36.68788528442383
41,214,0,23,35,1,25.177913665771484,37.177913665771484
42,215,0,24,36,0,25.55458641052246,37.55458641052246
43,216,0,25,37,0,26.118906021118164,38.118906021118164
44,217,0,26,38,0,26.70581817626953,38.70581817626953
45,218,0,27,39,0,27.228702545166016,39.228702545166016
46,219,0,28,40,0,27.797142028808594,39.797142028808594
47,220,0,29,41,0,28.58482551574707,40.58482551574707
48,221,0,30,42,0,29.30744743347168,41.30744743347168
49,222,0,31,43,0,30.211917877197266,42.211917877197266
50,223,0,32,44,0,31.430288314819336,43.430288314819336
51,224,0,33,45,0,32.34041976928711,44.34041976928711
52,225,0,34,46,0,33.076171875,45.076171875
53,226,0,35,47,0,33.94871520996094,45.94871520996094
54,227,0,36,48,0,34.667579650878906,46.667579650878906
55,228,0,37,49,0,35.20670700073242,47.20670700073242
56,229,0,38,50,0,35.718746185302734,47.718746185302734
57,230,0,39,51,0,36.26420974731445,48.26420974731445
58,231,0,40,52,0,36.6568489074707,48.6568489074707
59,232,0,40,52,0,36.942909240722656,48.942909240722656
60,233,0,40,52,0,37.310646057128906,49.310646057128906
61,234,0,40,52,0,37.729400634765625,49.729400634765625
62,235,0,40,52,0,38.33781051635742,50.33781051635742
63,236,0,41,53,0,39.36087417602539,51.36087417602539
64,237,0,41,53,0,40.64334487915039,52.64334487915039
65,238,0,41,53,0,41.83683395385742,53.83683395385742
66,239,2,41,53,0,42.78716278076172,54.78716278076172
67,240,0,43,55,0,43.87431716918945,55.87431716918945
68,241,0,44,56,0,44.75773239135742,56.75773239135742
69,242,0,47,59,0,45.80351638793945,57.80351638793945
70,243,0,48,60,0,46.60333251953125,58.60333251953125
71,244,0,49,61,0,47.211185455322266,59.211185455322266
72,245,0,42,54,0,47.255645751953125,59.255645751953125
73,246,0,42,54,0,47.6122932434082,59.6122932434082
74,247,0,43,55,0,47.5277214050293,59.5277214050293
75,248,0,44,56,0,47.73403549194336,59.73403549194336
76,249,0,45,57,0,47.9941520690918,59.9941520690918
77,250,0,46,58,2,48.34917068481445,60.34917068481445
78,251,0,47,59,0,48.77108383178711,60.77108383178711
79,252,0,48,60,0,49.22618103027344,61.22618103027344
80,253,0,49,61,0,49.973533630371094,61.973533630371094
81,254,0,50,62,0,50.923397064208984,62.923397064208984
82,255,0,51,63,0,51.707496643066406,63.707496643066406
83,256,0,52,64,0,52.19777297973633,64.19777297973633
84,257,0,53,65,0,53.37425994873047,65.37425994873047
85,258,0,54,66,0,54.02006530761719,66.02006530761719
86,259,0,55,67,0,55.65679931640625,67.65679931640625
87,260,0,56,68,0,56.644222259521484,68.64422225952148
88,261,0,57,69,0,57.525150299072266,69.52515029907227
89,262,0,59,71,0,58.893470764160156,70.89347076416016
90,263,0,60,72,0,59.955604553222656,71.95560455322266
91,264,0,60,72,0,60.34944534301758,72.34944534301758
92,265,0,61,73,0,60.031368255615234,72.03136825561523
93,266,0,62,74,0,59.77154541015625,71.77154541015625
94,267,0,63,75,3,59.56890106201172,71.56890106201172
95,268,0,63,75,3,59.00741958618164,71.00741958618164
