robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,0,0,0,0,0,0.4515562355518341,0.4515562355518341
1,1,0,1,1,0,0.5458632707595825,0.5458632707595825
2,2,0,1,1,0,0.557828426361084,0.557828426361084
3,3,0,1,1,0,0.5789148807525635,0.5789148807525635
4,4,0,1,1,0,0.601418137550354,0.601418137550354
5,5,0,1,1,0,0.6245507597923279,0.6245507597923279
6,6,0,1,1,0,0.6656139492988586,0.6656139492988586
7,7,0,1,1,0,0.775143563747406,0.775143563747406
8,8,0,1,1,0,0.9501988887786865,0.9501988887786865
9,9,0,1,1,0,1.1987347602844238,1.1987347602844238
10,10,0,0,0,0,1.527999997138977,1.527999997138977
11,11,0,0,0,0,1.6031968593597412,1.6031968593597412
12,12,0,0,0,0,1.7564774751663208,1.7564774751663208
13,13,0,0,0,0,2.1590259075164795,2.1590259075164795
14,14,0,1,1,0,2.701166868209839,2.701166868209839
15,15,0,1,1,0,4.015732765197754,4.015732765197754
16,16,0,1,1,0,5.344798564910889,5.344798564910889
17,17,0,0,0,0,7.268902778625488,7.268902778625488
18,18,0,2,2,0,8.107293128967285,8.107293128967285
19,19,0,1,1,0,7.76146125793457,7.76146125793457
20,20,0,2,2,0,8.331012725830078,8.331012725830078
21,21,0,2,2,0,8.993967056274414,8.993967056274414
22,22,0,2,2,0,9.525239944458008,9.525239944458008
23,23,0,2,2,0,10.114189147949219,10.114189147949219
24,24,0,2,2,0,10.310494422912598,10.310494422912598
25,25,0,2,2,0,10.10106372833252,10.10106372833252
26,26,0,2,2,0,10.922432899475098,10.922432899475098
27,27,0,2,2,0,10.543774604797363,10.543774604797363
28,28,0,2,2,0,10.076847076416016,10.076847076416016
29,29,0,2,2,0,10.399758338928223,10.399758338928223
30,30,0,2,2,0,9.681764602661133,9.681764602661133
31,31,0,2,2,0,10.482587814331055,10.482587814331055
32,32,0,2,2,0,10.927702903747559,10.927702903747559
33,33,0,2,2,0,10.771612167358398,10.771612167358398
34,34,0,2,2,0,12.491314888000488,12.491314888000488
35,35,0,2,2,0,12.376493453979492,12.376493453979492
36,36,0,2,2,0,11.504386901855469,11.504386901855469
37,37,0,2,2,0,10.983893394470215,10.983893394470215
38,38,0,2,2,0,11.003698348999023,11.003698348999023
39,39,0,2,2,0,11.64232063293457,11.64232063293457
40,40,0,2,2,0,12.173373222351074,12.173373222351074
41,41,0,2,2,0,9.721062660217285,9.721062660217285
42,42,0,2,2,0,11.070688247680664,11.070688247680664
43,43,0,2,2,0,11.323307037353516,11.323307037353516
44,44,0,2,2,0,11.487411499023438,11.487411499023438
45,45,0,2,2,0,11.351747512817383,11.351747512817383
46,46,0,2,2,0,10.942669868469238,10.942669868469238
47,47,0,2,2,0,12.117195129394531,12.117195129394531
48,48,0,2,2,0,11.928544998168945,11.928544998168945
49,49,0,2,2,0,9.989845275878906,9.989845275878906
50,50,0,12,12,0,11.308445930480957,11.308445930480957
51,51,0,12,12,0,12.391300201416016,12.391300201416016
52,52,0,11,11,0,13.422440528869629,13.422440528869629
53,53,0,12,12,0,14.320279121398926,14.320279121398926
54,54,0,14,14,0,14.028139114379883,14.028139114379883
55,55,0,14,14,0,15.581489562988281,15.581489562988281
56,56,0,14,14,0,15.044865608215332,15.044865608215332
57,57,0,15,15,0,15.04350757598877,15.04350757598877
58,58,0,15,15,0,15.881468772888184,15.881468772888184
59,59,0,16,16,0,16.792573928833008,16.792573928833008
60,60,0,18,18,0,19.189237594604492,19.189237594604492
61,61,0,25,25,0,20.58945083618164,20.58945083618164
62,62,0,21,21,0,18.482257843017578,18.482257843017578
63,63,0,4,4,0,9.9422607421875,9.9422607421875
64,64,0,13,13,0,11.791080474853516,11.791080474853516
65,65,0,13,13,0,13.105735778808594,13.105735778808594
66,66,0,13,13,0,14.949666976928711,14.949666976928711
67,67,0,19,19,0,16.727632522583008,16.727632522583008
68,68,0,18,18,0,16.636449813842773,16.636449813842773
69,69,0,18,18,0,15.091865539550781,15.091865539550781
70,70,0,20,20,0,17.434999465942383,17.434999465942383
71,71,0,20,20,0,17.98984146118164,17.98984146118164
72,72,0,21,21,0,16.575258255004883,16.575258255004883
73,73,0,11,11,0,13.566122055053711,13.566122055053711
74,74,0,11,11,0,11.637253761291504,11.637253761291504
75,75,0,11,11,0,11.865002632141113,11.865002632141113
76,76,0,11,11,0,12.015825271606445,12.015825271606445
77,77,0,13,13,0,12.442452430725098,12.442452430725098
78,78,0,13,13,0,13.515369415283203,13.515369415283203
79,79,0,15,15,0,14.49856948852539,14.49856948852539
80,80,0,15,15,0,15.149024963378906,15.149024963378906
81,81,0,15,15,0,14.980506896972656,14.980506896972656
82,82,0,6,6,0,13.364727973937988,13.364727973937988
83,83,1,6,6,0,10.414461135864258,10.414461135864258
84,84,2,6,6,0,9.508018493652344,9.508018493652344
85,85,0,6,6,0,10.864259719848633,10.864259719848633
86,86,0,5,5,0,12.614267349243164,12.614267349243164
87,87,0,5,5,0,18.54624366760254,18.54624366760254
88,88,0,26,26,0,20.272716522216797,20.272716522216797
89,89,0,24,24,0,21.828975677490234,21.828975677490234
90,90,0,24,24,0,22.864553451538086,22.864553451538086
91,91,0,24,24,0,23.29141616821289,23.29141616821289
92,92,0,24,24,0,23.696229934692383,23.696229934692383
93,93,0,28,28,0,24.085832595825195,24.085832595825195
94,94,0,28,28,0,23.593530654907227,23.593530654907227
95,95,0,30,30,2,22.82403564453125,22.82403564453125
96,96,0,30,30,2,22.826217651367188,22.826217651367188
97,97,0,30,30,2,23.333539962768555,23.333539962768555
98,98,0,30,30,2,24.722209930419922,24.722209930419922
99,99,0,30,30,2,24.625219345092773,24.625219345092773
100,100,0,30,30,2,24.555116653442383,24.555116653442383
101,101,0,31,31,3,24.41815185546875,24.41815185546875
102,102,0,31,31,3,26.44545555114746,26.44545555114746
103,103,0,31,31,3,28.133544921875,28.133544921875
104,104,0,31,31,3,26.161239624023438,26.161239624023438
105,105,0,4,4,0,13.886481285095215,13.886481285095215
106,106,0,4,4,0,17.12272834777832,17.12272834777832
107,107,0,31,31,3,19.68082618713379,19.68082618713379
108,108,0,31,31,3,21.726682662963867,21.726682662963867
109,109,0,21,21,0,23.117511749267578,23.117511749267578
110,110,0,4,4,0,12.745439529418945,12.745439529418945
111,111,0,4,4,0,11.07022476196289,11.07022476196289
112,112,0,4,4,0,9.798863410949707,9.798863410949707
113,113,0,4,4,0,9.868429183959961,9.868429183959961
114,114,0,3,3,0,10.67627239227295,10.67627239227295
115,115,0,3,3,0,12.010729789733887,12.010729789733887
116,116,0,21,21,0,13.44468879699707,13.44468879699707
117,117,0,22,22,1,14.311710357666016,14.311710357666016
118,118,0,22,22,1,14.734236717224121,14.734236717224121
119,119,0,22,22,1,14.999238014221191,14.999238014221191
120,120,0,22,22,1,15.08547592163086,15.08547592163086
121,121,0,22,22,1,15.053293228149414,15.053293228149414
122,122,0,22,22,1,14.891263008117676,14.891263008117676
123,123,0,22,22,1,14.79135799407959,14.79135799407959
124,124,0,22,22,1,14.697589874267578,14.697589874267578
125,125,0,22,22,1,14.62289047241211,14.62289047241211
126,126,0,22,22,1,14.528521537780762,14.528521537780762
127,127,0,22,22,1,14.44525146484375,14.44525146484375
128,128,0,22,22,1,14.4486665725708,14.4486665725708
129,129,0,22,22,1,14.408884048461914,14.408884048461914
130,130,0,22,22,1,14.233427047729492,14.233427047729492
131,131,0,22,22,1,14.012534141540527,14.012534141540527
132,132,0,22,22,1,13.993780136108398,13.993780136108398
133,133,0,22,22,1,13.971624374389648,13.971624374389648
134,134,0,8,8,0,13.922941207885742,13.922941207885742
135,135,0,8,8,0,13.917791366577148,13.917791366577148
136,136,0,22,22,1,13.980804443359375,13.980804443359375
137,137,0,22,22,1,14.012487411499023,14.012487411499023
138,138,0,8,8,0,13.919809341430664,13.919809341430664
139,139,0,8,8,0,13.741883277893066,13.741883277893066
140,140,0,8,8,0,13.79033374786377,13.79033374786377
141,141,0,8,8,0,14.087254524230957,14.087254524230957
