robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,3,0,0,6,0,0.0,6.0
1,4,0,15,21,0,8.374670028686523,14.374670028686523
2,5,0,9,15,0,7.751149654388428,13.751149654388428
3,6,0,7,13,0,7.327664852142334,13.327664852142334
4,7,0,6,12,0,7.157625198364258,13.157625198364258
5,8,0,5,11,0,7.125946998596191,13.125946998596191
6,9,0,12,18,0,7.146187782287598,13.146187782287598
7,10,0,12,18,0,7.172940731048584,13.172940731048584
8,11,0,12,18,0,7.200102806091309,13.200102806091309
9,12,0,12,18,0,7.231378078460693,13.231378078460693
10,13,0,12,18,0,7.2700934410095215,13.270093441009521
11,14,0,12,18,0,7.32513427734375,13.32513427734375
12,15,0,10,16,0,7.3876051902771,13.3876051902771
13,16,0,10,16,0,7.4483771324157715,13.448377132415771
14,17,0,10,16,0,7.50222635269165,13.50222635269165
15,18,0,10,16,0,7.542809963226318,13.542809963226318
16,19,0,10,16,0,7.5722784996032715,13.572278499603271
17,20,0,10,16,0,7.5933403968811035,13.593340396881104
18,21,0,10,16,0,7.61035680770874,13.61035680770874
19,22,0,10,16,0,7.6249494552612305,13.62494945526123
20,23,0,10,16,0,7.628253936767578,13.628253936767578
21,24,0,10,16,0,7.6294474601745605,13.62944746017456
22,25,0,10,16,0,7.634251117706299,13.634251117706299
23,26,0,10,16,0,7.641827583312988,13.641827583312988
24,27,0,10,16,0,7.6504292488098145,13.650429248809814
25,28,0,10,16,0,7.662655830383301,13.6626558303833
26,29,0,10,16,0,7.685659408569336,13.685659408569336
27,30,0,10,16,0,7.717996120452881,13.71799612045288
28,31,0,10,16,0,7.762871265411377,13.762871265411377
29,32,0,10,16,0,7.824066638946533,13.824066638946533
30,33,0,10,16,0,7.916685104370117,13.916685104370117
31,34,0,10,16,0,8.049138069152832,14.049138069152832
32,35,0,10,16,0,8.230646133422852,14.230646133422852
33,36,0,10,16,0,8.472149848937988,14.472149848937988
34,37,0,16,22,1,8.779714584350586,14.779714584350586
35,38,0,16,22,1,9.154337882995605,15.154337882995605
36,39,0,16,22,1,9.559920310974121,15.559920310974121
37,40,0,16,22,1,9.967459678649902,15.967459678649902
38,41,0,16,22,1,10.396565437316895,16.396565437316895
39,42,0,16,22,1,10.080422401428223,16.080422401428223
40,43,0,16,22,1,9.803662300109863,15.803662300109863
