robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,153,0,0,32,0,0.0,32.0
1,154,0,1,33,0,1.3632352352142334,33.36323523521423
2,155,0,2,34,0,1.6577270030975342,33.657727003097534
3,156,0,3,35,0,1.9362576007843018,33.9362576007843
4,157,0,4,36,0,2.137666702270508,34.13766670227051
5,158,0,4,36,0,2.145655870437622,34.14565587043762
6,159,0,4,36,0,2.1593382358551025,34.1593382358551
7,160,0,4,36,0,2.182662010192871,34.18266201019287
8,161,0,4,36,0,2.2220571041107178,34.22205710411072
9,162,0,4,36,0,2.2876169681549072,34.28761696815491
10,163,0,4,36,0,2.39404559135437,34.39404559135437
11,164,0,4,36,0,2.5600907802581787,34.56009078025818
12,165,0,5,37,0,2.803685426712036,34.803685426712036
13,166,0,5,37,0,3.130622148513794,35.130622148513794
14,167,0,5,37,0,3.1853926181793213,35.18539261817932
15,168,0,5,37,0,3.2766306400299072,35.27663064002991
16,169,0,5,37,0,3.4250051975250244,35.425005197525024
17,170,0,5,37,0,3.657060146331787,35.65706014633179
18,171,0,5,37,0,3.9987757205963135,35.99877572059631
19,172,0,5,37,0,4.459812641143799,36.4598126411438
20,173,0,6,38,0,5.013537406921387,37.01353740692139
21,174,0,6,38,0,5.5927605628967285,37.59276056289673
22,175,0,6,38,0,6.1173415184021,38.1173415184021
23,176,0,7,39,0,6.614482879638672,38.61448287963867
24,177,0,8,40,0,7.082504749298096,39.082504749298096
25,178,0,9,41,1,7.50872802734375,39.50872802734375
26,179,0,10,42,0,7.86850118637085,39.86850118637085
27,180,0,11,43,0,8.113663673400879,40.11366367340088
28,181,0,11,43,0,8.13196849822998,40.13196849822998
29,182,0,11,43,0,8.163148880004883,40.16314888000488
30,183,0,11,43,0,8.215797424316406,40.215797424316406
31,184,0,11,43,0,8.303415298461914,40.303415298461914
32,185,0,11,43,0,8.445673942565918,40.44567394256592
33,186,0,11,43,0,8.667642593383789,40.66764259338379
34,187,0,12,44,0,8.99334716796875,40.99334716796875
35,188,0,12,44,0,9.040731430053711,41.04073143005371
36,189,0,12,44,0,9.120270729064941,41.12027072906494
37,190,0,12,44,0,9.25127124786377,41.25127124786377
38,191,0,12,44,0,9.460407257080078,41.46040725708008
39,192,0,12,44,0,9.7781982421875,41.7781982421875
40,193,0,12,44,0,10.226615905761719,42.22661590576172
41,194,0,13,45,0,10.797436714172363,42.79743671417236
42,195,0,14,46,0,11.229557991027832,43.22955799102783
43,196,0,14,46,0,11.478588104248047,43.47858810424805
44,197,0,15,47,0,11.842266082763672,43.84226608276367
45,198,0,15,47,0,11.97857666015625,43.97857666015625
46,199,0,15,47,0,12.194302558898926,44.194302558898926
47,200,0,16,48,0,12.517722129821777,44.51772212982178
48,201,0,16,48,0,12.561339378356934,44.561339378356934
49,202,0,16,48,0,12.634797096252441,44.63479709625244
50,203,0,16,48,0,12.756420135498047,44.75642013549805
51,204,1,16,48,0,12.952202796936035,44.952202796936035
52,205,0,16,48,0,13.2535982131958,45.2535982131958
53,206,0,17,49,0,13.687003135681152,45.68700313568115
54,207,0,17,49,0,13.874000549316406,45.874000549316406
55,208,0,17,49,0,14.165794372558594,46.165794372558594
56,209,0,17,49,0,14.593993186950684,46.593993186950684
57,210,0,18,50,0,15.168926239013672,47.16892623901367
58,211,0,19,51,0,15.610915184020996,47.610915184020996
59,212,0,19,51,0,15.871908187866211,47.87190818786621
60,213,0,20,52,0,16.260473251342773,48.26047325134277
61,214,0,20,52,0,16.43728256225586,48.43728256225586
62,215,0,20,52,0,16.71563720703125,48.71563720703125
63,216,0,21,53,0,17.129669189453125,49.129669189453125
64,217,0,21,53,0,17.347299575805664,49.347299575805664
65,218,0,21,53,0,17.68514060974121,49.68514060974121
66,219,0,22,54,0,18.17707633972168,50.17707633972168
67,220,0,22,54,0,18.529342651367188,50.52934265136719
68,221,0,23,55,0,19.040939331054688,51.04093933105469
69,222,0,24,56,2,19.436359405517578,51.43635940551758
70,223,0,24,56,2,19.65256690979004,51.65256690979004
71,224,0,25,57,0,19.989654541015625,51.989654541015625
72,225,0,25,57,0,20.099895477294922,52.09989547729492
73,226,0,25,57,0,20.280820846557617,52.28082084655762
74,227,0,26,58,0,20.568218231201172,52.56821823120117
75,228,0,26,58,0,20.56850242614746,52.56850242614746
76,229,0,26,58,0,20.568771362304688,52.56877136230469
77,230,0,26,58,0,20.56911849975586,52.56911849975586
78,231,0,26,58,0,20.56959342956543,52.56959342956543
79,232,0,26,58,0,20.5703182220459,52.5703182220459
80,233,0,26,58,0,20.571462631225586,52.571462631225586
81,234,0,26,58,0,20.573354721069336,52.573354721069336
82,235,0,26,58,0,20.576534271240234,52.576534271240234
83,236,0,26,58,0,20.581926345825195,52.581926345825195
84,237,0,26,58,0,20.59110450744629,52.59110450744629
85,238,2,26,58,0,20.606796264648438,52.60679626464844
86,239,0,26,58,0,20.633634567260742,52.63363456726074
87,240,0,26,58,0,20.679386138916016,52.679386138916016
88,241,0,26,58,0,20.756742477416992,52.75674247741699
