robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,165,0,0,0,0,6.10416841506958,6.10416841506958
1,166,0,11,11,0,6.416815280914307,6.416815280914307
2,167,0,12,12,0,6.943911552429199,6.943911552429199
3,168,0,13,13,0,7.483303070068359,7.483303070068359
4,169,0,14,14,0,8.033872604370117,8.033872604370117
5,170,0,15,15,0,8.594487190246582,8.594487190246582
6,171,0,16,16,0,9.164053916931152,9.164053916931152
7,172,0,17,17,0,9.74157428741455,9.74157428741455
8,173,0,18,18,0,10.326123237609863,10.326123237609863
9,174,0,19,19,0,10.916890144348145,10.916890144348145
10,175,0,20,20,0,11.51311206817627,11.51311206817627
11,176,0,21,21,0,12.114076614379883,12.114076614379883
12,177,0,22,22,0,12.719076156616211,12.719076156616211
13,178,0,23,23,0,13.327410697937012,13.327410697937012
14,179,0,24,24,0,13.938182830810547,13.938182830810547
15,180,0,25,25,0,14.550400733947754,14.550400733947754
16,181,0,26,26,0,15.162662506103516,15.162662506103516
17,182,0,27,27,0,15.772904396057129,15.772904396057129
18,183,0,28,28,0,16.37819480895996,16.37819480895996
19,184,0,29,29,1,16.973953247070312,16.973953247070312
20,185,0,30,30,0,17.55286407470703,17.55286407470703
21,186,0,31,31,0,18.103601455688477,18.103601455688477
22,187,0,32,32,0,18.6075382232666,18.6075382232666
23,188,0,33,33,0,19.033838272094727,19.033838272094727
24,189,0,34,34,0,19.329368591308594,19.329368591308594
25,190,0,34,34,0,19.3970890045166,19.3970890045166
26,191,0,34,34,0,19.51127815246582,19.51127815246582
27,192,0,34,34,0,19.702672958374023,19.702672958374023
28,193,0,35,35,0,20.019020080566406,20.019020080566406
29,194,0,35,35,0,20.094926834106445,20.094926834106445
30,195,0,35,35,0,20.223031997680664,20.223031997680664
31,196,0,35,35,0,20.437284469604492,20.437284469604492
32,197,0,36,36,0,20.790382385253906,20.790382385253906
33,198,0,36,36,0,20.902013778686523,20.902013778686523
34,199,0,36,36,0,21.08926010131836,21.08926010131836
35,200,0,37,37,0,21.399362564086914,21.399362564086914
36,201,0,37,37,0,21.41526985168457,21.41526985168457
37,202,0,37,37,0,21.442426681518555,21.442426681518555
38,203,0,37,37,0,21.48865509033203,21.48865509033203
39,204,0,37,37,0,21.567068099975586,21.567068099975586
40,205,0,37,37,0,21.699386596679688,21.699386596679688
41,206,0,37,37,0,21.920650482177734,21.920650482177734
42,207,0,38,38,0,22.285253524780273,22.285253524780273
43,208,0,38,38,0,22.327119827270508,22.327119827270508
44,209,1,38,38,0,22.398216247558594,22.398216247558594
45,210,0,38,38,0,22.518306732177734,22.518306732177734
46,211,0,38,38,0,22.719619750976562,22.719619750976562
47,212,0,38,38,0,23.052677154541016,23.052677154541016
48,213,0,39,39,0,23.59197425842285,23.59197425842285
49,214,0,39,39,0,23.876956939697266,23.876956939697266
50,215,0,40,40,0,24.341928482055664,24.341928482055664
51,216,0,40,40,0,24.496017456054688,24.496017456054688
52,217,0,40,40,0,24.752809524536133,24.752809524536133
53,218,0,41,41,0,25.173662185668945,25.173662185668945
54,219,0,41,41,0,25.22989845275879,25.22989845275879
55,220,0,41,41,0,25.325092315673828,25.325092315673828
56,221,0,41,41,0,25.485294342041016,25.485294342041016
57,222,0,41,41,0,25.752029418945312,25.752029418945312
58,223,0,42,42,0,26.18848991394043,26.18848991394043
59,224,0,42,42,0,26.212533950805664,26.212533950805664
60,225,0,42,42,0,26.253498077392578,26.253498077392578
61,226,0,42,42,0,26.323034286499023,26.323034286499023
62,227,0,42,42,0,26.4405574798584,26.4405574798584
63,228,0,42,42,0,26.637636184692383,26.637636184692383
64,229,0,42,42,0,26.963825225830078,26.963825225830078
65,230,0,43,43,0,27.492366790771484,27.492366790771484
66,231,0,43,43,0,27.56195068359375,27.56195068359375
67,232,0,43,43,0,27.6796817779541,27.6796817779541
68,233,0,43,43,0,27.877132415771484,27.877132415771484
69,234,0,43,43,0,28.2042179107666,28.2042179107666
70,235,0,43,43,0,28.734716415405273,28.734716415405273
71,236,0,44,44,0,29.566560745239258,29.566560745239258
72,237,0,44,44,0,30.06648063659668,30.06648063659668
73,238,0,44,44,0,30.854463577270508,30.854463577270508
74,239,0,45,45,0,32.03619384765625,32.03619384765625
75,240,0,46,46,0,33.09695053100586,33.09695053100586
76,241,0,47,47,0,34.0229606628418,34.0229606628418
77,242,0,48,48,0,34.78084945678711,34.78084945678711
78,243,0,49,49,0,35.30259323120117,35.30259323120117
79,244,0,49,49,0,35.4478759765625,35.4478759765625
80,245,0,49,49,0,35.6894416809082,35.6894416809082
81,246,0,49,49,0,36.0840950012207,36.0840950012207
82,247,0,50,50,0,36.71122360229492,36.71122360229492
83,248,2,50,50,0,36.99757385253906,36.99757385253906
84,249,0,51,51,0,37.46133041381836,37.46133041381836
85,250,0,51,51,0,37.46197509765625,37.46197509765625
86,251,0,51,51,0,37.46329879760742,37.46329879760742
87,252,0,51,51,0,37.46577072143555,37.46577072143555
88,253,0,51,51,0,37.470157623291016,37.470157623291016
89,254,0,51,51,0,37.47799301147461,37.47799301147461
90,255,0,51,51,0,37.49171447753906,37.49171447753906
91,256,0,51,51,0,37.515323638916016,37.515323638916016
92,257,0,51,51,0,37.55579376220703,37.55579376220703
93,258,0,51,51,0,37.62471389770508,37.62471389770508
94,259,0,51,51,0,37.741111755371094,37.741111755371094
95,260,0,51,51,0,37.93605422973633,37.93605422973633
96,261,0,51,51,0,38.2574462890625,38.2574462890625
97,262,0,52,52,0,38.77408218383789,38.77408218383789
98,263,0,52,52,0,39.57270050048828,39.57270050048828
99,264,0,52,52,0,39.57194900512695,39.57194900512695
100,265,0,52,52,0,39.57136917114258,39.57136917114258
101,266,0,52,52,0,39.5711669921875,39.5711669921875
102,267,0,52,52,0,39.57101821899414,39.57101821899414
